ds,exo
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.5
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,8.5
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,5.5
2015-05-11,0.8
2015-05-12,0.7
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,0.2
2015-05-17,2.1
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,14.6
2015-05-25,8.9
2015-05-26,0.0
2015-05-27,23.0
2015-05-28,15.8
2015-05-29,7.2
2015-05-30,0.2
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.2
2015-06-10,0.0
2015-06-11,2.4
2015-06-12,7.9
2015-06-13,3.9
2015-06-14,105.7
2015-06-15,14.7
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,29.3
2015-06-19,0.0
2015-06-20,0.0
2015-06-21,0.6
2015-06-22,3.1
2015-06-23,10.7
2015-06-24,2.1
2015-06-25,0.0
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,3.8
2015-07-01,10.0
2015-07-02,0.0
2015-07-03,0.3
2015-07-04,8.3
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,44.6
2015-07-08,19.7
2015-07-09,18.7
2015-07-10,1.2
2015-07-11,0.2
2015-07-12,13.0
2015-07-13,8.5
2015-07-14,92.7
2015-07-15,54.4
2015-07-16,22.2
2015-07-17,2.2
2015-07-18,0.3
2015-07-19,0.0
2015-07-20,0.0
2015-07-21,26.6
2015-07-22,0.2
2015-07-23,0.0
2015-07-24,14.6
2015-07-25,6.7
2015-07-26,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,12.5
2015-08-20,0.9
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,6.3
2015-08-24,1.0
2015-08-25,1.9
2015-08-26,0.0
2015-08-27,44.5
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,8.2
2015-09-03,21.0
2015-09-04,5.8
2015-09-05,0.0
2015-09-06,4.6
2015-09-07,0.2
2015-09-08,26.4
2015-09-09,1.4
2015-09-10,0.0
2015-09-11,15.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,43.5
2015-09-18,11.8
2015-09-19,14.0
2015-09-20,30.2
2015-09-21,6.1
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,16.2
2015-09-26,2.3
2015-09-27,95.7
2015-09-28,17.4
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,29.8
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,12.4
2015-10-07,6.0
2015-10-08,15.2
2015-10-09,53.7
2015-10-10,43.9
2015-10-11,5.2
2015-10-12,11.0
2015-10-13,1.1
2015-10-14,11.1
2015-10-15,0.0
