Data_Notificacao,Infectados_Dengue,Semana,Ano
30/05/2009,16,22,2009
31/05/2009,18,23,2009
01/06/2009,16,23,2009
02/06/2009,8,23,2009
03/06/2009,14,23,2009
04/06/2009,4,23,2009
05/06/2009,6,23,2009
06/06/2009,16,23,2009
07/06/2009,10,24,2009
08/06/2009,18,24,2009
09/06/2009,11,24,2009
10/06/2009,22,24,2009
11/06/2009,6,24,2009
12/06/2009,6,24,2009
13/06/2009,30,24,2009
14/06/2009,8,25,2009
15/06/2009,10,25,2009
16/06/2009,24,25,2009
17/06/2009,12,25,2009
18/06/2009,24,25,2009
19/06/2009,8,25,2009
20/06/2009,10,25,2009
21/06/2009,8,26,2009
22/06/2009,4,26,2009
23/06/2009,2,26,2009
24/06/2009,4,26,2009
25/06/2009,8,26,2009
26/06/2009,8,26,2009
27/06/2009,2,26,2009
28/06/2009,7,27,2009
29/06/2009,10,27,2009
30/06/2009,26,27,2009
01/07/2009,6,27,2009
02/07/2009,4,27,2009
03/07/2009,8,27,2009
04/07/2009,14,27,2009
05/07/2009,2,28,2009
06/07/2009,8,28,2009
07/07/2009,20,28,2009
08/07/2009,4,28,2009
09/07/2009,4,28,2009
10/07/2009,9,28,2009
11/07/2009,10,28,2009
12/07/2009,4,29,2009
13/07/2009,2,29,2009
14/07/2009,2,29,2009
15/07/2009,6,29,2009
16/07/2009,4,29,2009
17/07/2009,16,29,2009
18/07/2009,10,29,2009
19/07/2009,0,30,2009
20/07/2009,14,30,2009
21/07/2009,6,30,2009
22/07/2009,4,30,2009
23/07/2009,4,30,2009
24/07/2009,10,30,2009
25/07/2009,4,30,2009
26/07/2009,0,31,2009
27/07/2009,2,31,2009
28/07/2009,2,31,2009
29/07/2009,18,31,2009
30/07/2009,4,31,2009
31/07/2009,18,31,2009
01/08/2009,6,31,2009
02/08/2009,4,32,2009
03/08/2009,22,32,2009
04/08/2009,6,32,2009
05/08/2009,4,32,2009
06/08/2009,4,32,2009
07/08/2009,6,32,2009
08/08/2009,4,32,2009
09/08/2009,2,33,2009
10/08/2009,8,33,2009
11/08/2009,14,33,2009
12/08/2009,6,33,2009
13/08/2009,6,33,2009
14/08/2009,16,33,2009
15/08/2009,0,33,2009
16/08/2009,0,34,2009
17/08/2009,6,34,2009
18/08/2009,6,34,2009
19/08/2009,8,34,2009
20/08/2009,4,34,2009
21/08/2009,4,34,2009
22/08/2009,2,34,2009
23/08/2009,6,35,2009
24/08/2009,2,35,2009
25/08/2009,0,35,2009
26/08/2009,0,35,2009
27/08/2009,2,35,2009
28/08/2009,0,35,2009
29/08/2009,0,35,2009
30/08/2009,0,36,2009
31/08/2009,2,36,2009
01/09/2009,2,36,2009
02/09/2009,2,36,2009
03/09/2009,6,36,2009
04/09/2009,2,36,2009
05/09/2009,2,36,2009
06/09/2009,0,37,2009
07/09/2009,0,37,2009
08/09/2009,5,37,2009
09/09/2009,2,37,2009
10/09/2009,4,37,2009
11/09/2009,0,37,2009
12/09/2009,0,37,2009
13/09/2009,0,38,2009
