Semana,Ano,Data_Notificacao,Infectados_Dengue,Infectados_7
4,2009,20/01/2009,21,177
4,2009,21/01/2009,18,182
4,2009,22/01/2009,40,164
4,2009,23/01/2009,46,190
4,2009,24/01/2009,20,210
5,2009,25/01/2009,10,214
5,2009,26/01/2009,46,216
5,2009,27/01/2009,43,201
5,2009,28/01/2009,54,223
5,2009,29/01/2009,18,259
5,2009,30/01/2009,45,237
5,2009,31/01/2009,16,236
6,2009,01/02/2009,30,232
6,2009,02/02/2009,63,252
6,2009,03/02/2009,63,269
6,2009,04/02/2009,58,289
6,2009,05/02/2009,70,293
6,2009,06/02/2009,42,345
6,2009,07/02/2009,57,342
7,2009,08/02/2009,34,383
7,2009,09/02/2009,50,387
7,2009,10/02/2009,78,374
7,2009,11/02/2009,60,389
7,2009,12/02/2009,59,391
7,2009,13/02/2009,46,380
7,2009,14/02/2009,50,384
8,2009,15/02/2009,34,377
8,2009,16/02/2009,68,377
8,2009,17/02/2009,64,395
8,2009,18/02/2009,60,381
8,2009,19/02/2009,52,381
8,2009,20/02/2009,65,374
8,2009,21/02/2009,26,393
9,2009,22/02/2009,24,369
9,2009,23/02/2009,8,359
9,2009,24/02/2009,24,299
9,2009,25/02/2009,24,259
9,2009,26/02/2009,80,223
9,2009,27/02/2009,58,251
9,2009,28/02/2009,86,244
10,2009,01/03/2009,51,304
10,2009,02/03/2009,66,331
10,2009,03/03/2009,60,389
10,2009,04/03/2009,93,425
10,2009,05/03/2009,99,494
10,2009,06/03/2009,141,513
10,2009,07/03/2009,103,596
11,2009,08/03/2009,76,613
11,2009,09/03/2009,152,638
11,2009,10/03/2009,118,724
11,2009,11/03/2009,175,782
11,2009,12/03/2009,115,864
11,2009,13/03/2009,120,880
11,2009,14/03/2009,184,859
12,2009,15/03/2009,70,940
12,2009,16/03/2009,142,934
12,2009,17/03/2009,141,924
12,2009,18/03/2009,188,947
12,2009,19/03/2009,52,960
12,2009,20/03/2009,101,897
12,2009,21/03/2009,177,878
13,2009,22/03/2009,53,871
13,2009,23/03/2009,101,854
13,2009,24/03/2009,76,813
13,2009,25/03/2009,124,748
13,2009,26/03/2009,110,684
13,2009,27/03/2009,115,742
13,2009,28/03/2009,48,756
14,2009,29/03/2009,34,627
14,2009,30/03/2009,121,608
14,2009,31/03/2009,72,628
14,2009,01/04/2009,60,624
14,2009,02/04/2009,78,560
14,2009,03/04/2009,56,528
14,2009,04/04/2009,64,469
15,2009,05/04/2009,40,485
15,2009,06/04/2009,84,491
15,2009,07/04/2009,50,454
15,2009,08/04/2009,50,432
15,2009,09/04/2009,45,422
15,2009,10/04/2009,23,389
15,2009,11/04/2009,32,356
16,2009,12/04/2009,29,324
16,2009,13/04/2009,47,313
16,2009,14/04/2009,40,276
16,2009,15/04/2009,37,266
16,2009,16/04/2009,35,253
16,2009,17/04/2009,30,243
16,2009,18/04/2009,40,250
17,2009,19/04/2009,10,258
17,2009,20/04/2009,44,239
17,2009,21/04/2009,20,236
17,2009,22/04/2009,28,216
17,2009,23/04/2009,18,207
17,2009,24/04/2009,20,190
17,2009,25/04/2009,28,180
18,2009,26/04/2009,16,168
18,2009,27/04/2009,27,174
18,2009,28/04/2009,20,157
18,2009,29/04/2009,44,157
18,2009,30/04/2009,18,173
18,2009,01/05/2009,30,173
18,2009,02/05/2009,34,183
